energy [eV]	total (gross)	total (net)	0 (gross)	0 (net)	1 (gross)	1 (net)	2 (gross)	2 (net)	3 (gross)	3 (net)	4 (gross)	4 (net)	5 (gross)	5 (net)	6 (gross)	6 (net)	7 (gross)	7 (net)	8 (gross)	8 (net)	9 (gross)	9 (net)	10 (gross)	10 (net)	11 (gross)	11 (net)	12 (gross)	12 (net)	13 (gross)	13 (net)	14 (gross)	14 (net)	15 (gross)	15 (net)	16 (gross)	16 (net)
500.00	7.476	7.476	18.00	18.00	22.24	22.24	19.50	19.50	18.27	18.27	14.50	14.50	10.75	10.75	6.318	6.318	3.872	3.872	2.711	2.711	1.945	1.945	1.551	1.551	1.462	1.462	1.227	1.227	1.236	1.236	1.227	1.227	1.125	1.125	1.155	1.155
502.00	7.397	7.397	17.71	17.71	21.96	21.96	19.35	19.35	18.06	18.06	14.36	14.36	10.62	10.62	6.218	6.218	3.776	3.776	2.736	2.736	1.951	1.951	1.538	1.538	1.435	1.435	1.232	1.232	1.303	1.303	1.215	1.215	1.124	1.124	1.172	1.172
504.00	7.326	7.326	17.33	17.33	21.75	21.75	19.23	19.23	17.83	17.83	14.30	14.30	10.52	10.52	6.162	6.162	3.717	3.717	2.710	2.710	1.964	1.964	1.532	1.532	1.405	1.405	1.235	1.235	1.357	1.357	1.190	1.190	1.116	1.116	1.194	1.194
506.00	7.268	7.268	16.97	16.97	21.62	21.62	19.08	19.08	17.62	17.62	14.31	14.31	10.45	10.45	6.140	6.140	3.710	3.710	2.634	2.634	1.969	1.969	1.544	1.544	1.386	1.386	1.235	1.235	1.389	1.389	1.161	1.161	1.113	1.113	1.214	1.214
508.00	7.219	7.219	16.69	16.69	21.48	21.48	18.86	18.86	17.49	17.49	14.35	14.35	10.40	10.40	6.143	6.143	3.743	3.743	2.535	2.535	1.955	1.955	1.568	1.568	1.386	1.386	1.238	1.238	1.403	1.403	1.133	1.133	1.125	1.125	1.221	1.221
510.00	7.170	7.170	16.51	16.51	21.30	21.30	18.55	18.55	17.41	17.41	14.39	14.39	10.32	10.32	6.146	6.146	3.782	3.782	2.441	2.441	1.912	1.912	1.595	1.595	1.403	1.403	1.250	1.250	1.401	1.401	1.104	1.104	1.154	1.154	1.215	1.215
512.00	7.114	7.114	16.40	16.40	21.05	21.05	18.22	18.22	17.37	17.37	14.39	14.39	10.20	10.20	6.127	6.127	3.799	3.799	2.380	2.380	1.847	1.847	1.618	1.618	1.425	1.425	1.274	1.274	1.389	1.389	1.075	1.075	1.190	1.190	1.196	1.196
514.00	7.052	7.052	16.32	16.32	20.77	20.77	17.93	17.93	17.32	17.32	14.33	14.33	10.03	10.03	6.080	6.080	3.786	3.786	2.355	2.355	1.777	1.777	1.634	1.634	1.436	1.436	1.308	1.308	1.371	1.371	1.050	1.050	1.222	1.222	1.170	1.170
516.00	6.989	6.989	16.20	16.20	20.54	20.54	17.73	17.73	17.24	17.24	14.19	14.19	9.863	9.863	6.019	6.019	3.774	3.774	2.347	2.347	1.720	1.720	1.650	1.650	1.425	1.425	1.341	1.341	1.346	1.346	1.034	1.034	1.239	1.239	1.150	1.150
518.00	6.929	6.929	16.06	16.06	20.37	20.37	17.60	17.60	17.11	17.11	13.96	13.96	9.730	9.730	5.993	5.993	3.785	3.785	2.351	2.351	1.688	1.688	1.675	1.675	1.384	1.384	1.362	1.362	1.312	1.312	1.025	1.025	1.245	1.245	1.142	1.142
520.00	6.868	6.868	15.88	15.88	20.21	20.21	17.47	17.47	16.92	16.92	13.65	13.65	9.650	9.650	6.039	6.039	3.808	3.808	2.367	2.367	1.681	1.681	1.705	1.705	1.324	1.324	1.365	1.365	1.268	1.268	1.026	1.026	1.255	1.255	1.142	1.142
522.00	6.805	6.805	15.67	15.67	19.99	19.99	17.30	17.30	16.71	16.71	13.30	13.30	9.622	9.622	6.151	6.151	3.827	3.827	2.400	2.400	1.696	1.696	1.731	1.731	1.264	1.264	1.354	1.354	1.223	1.223	1.032	1.032	1.279	1.279	1.147	1.147
