Datapoint (#)	Depth (nm)	Dose (1e15 ions/cm²)	Peak (La): Integral [counts/nC]	Peak (SiAl): Integral [counts/nC]	Peak (O): Integral [counts/nC]
0	0.0	0.00	-7.766e+01	3.802e+01	2.125e+02
1	0.2	1.03	1.601e+03	8.318e+02	6.717e+02
2	0.4	2.06	1.752e+03	8.504e+02	6.880e+02
3	0.6	3.09	1.754e+03	8.466e+02	7.082e+02
4	0.8	4.11	1.875e+03	9.976e+02	6.165e+02
5	1.0	5.14	1.874e+03	1.383e+03	5.135e+02
6	1.2	6.17	1.685e+03	1.910e+03	3.423e+02
7	1.4	7.20	1.428e+03	2.518e+03	2.102e+02
8	1.6	8.23	1.110e+03	2.960e+03	1.595e+02
9	1.9	9.26	8.589e+02	3.327e+03	1.099e+02
10	2.1	10.28	6.271e+02	3.566e+03	8.683e+01
11	2.3	11.31	4.553e+02	3.745e+03	8.939e+01
12	2.5	12.34	3.200e+02	3.829e+03	7.831e+01
13	2.7	13.37	2.242e+02	3.960e+03	6.617e+01
14	2.9	14.40	1.507e+02	4.036e+03	4.400e+01
15	3.1	15.43	1.026e+02	3.993e+03	5.392e+01
16	3.3	16.45	7.266e+01	4.156e+03	4.549e+01
